U, mkV;0.3;0.4;0.5;0.6;0.7;0.8;0.9;1
0;13;17;20;22;26;29;32;36
0.15;7;11;12;13;15;17;18;20
0.3;3;4;4;3;3;4;4;4
0.45;0;1;-4;-6;-7;-9;-11;-12
0.6;-5;-8;-12;-16;-19;-23;-25;-29
0.75;-11;-15;-20;-26;-31;-35;-40;-44
0.9;-16;-21;-28;-35;-41;-47;-54;-59
1.05;-20;-27;-36;-44;-52;-59;-67;-75
1.3;-26;-35;-46;-56;-66;-75;-85;-95
