f, Hz:x0, div:x, div
990:9.6:0
1150:8:3
910:10:-3.3
930:9.7:-2.7
950:9.5:-2.1
970:9.4:-1.4
980:9.3:-0.7
1000:9.1:0.3
1020:8.9:1.1
1040:8.7:1.8
1070:8.5:2.4
1100:8.3:2.7
1130:8.1:2.9
