f, Hz:x0, div:x, div
995:9:0
880:9.6:-3.3
1200:7:2.6
910:9.3:-2.7
930:9:-2.1
950:8.8:-1.5
970:8.7:-0.9
985:8.5:-0.4
1020:9.8:0.9
1050:9.5:1.9
1100:9.1:2.7
1010:9.8:0.7
1030:9.7:1.5
