R, kOhm:x0, div:x, div
0:9.6:4.4
0.7:9.6:3.8
1.6:9.6:3.1
2.5:9.6:2.6
3.8:9.7:2.1
5.4:9.8:1.7
7.7:9.7:1.2
10:9.7:1.0
