R, kOhm:x0, div:x, div
0:8.1:-4
0.05:8.1:-3.6
0.12:8.1:-3.1
0.22:8.1:-2.5
0.32:8.1:-2
0.51:8.1:-1.4
0.83:8.1:-0.9
1.5:8.1:-0.5
3.5:8.1:-0.2
