I, A;m, g;m, g;m, g
0;85.9198;85.9200;85.9202
0.2;85.9195;85.9195;85.9194
0.3;85.9188;85.9187;85.9186
0.4;85.9183;85.9176;85.9175
0.5;85.9155;85.9158;85.9154
0.6;85.9120;85.9116;85.9112
0.7;85.9098;85.9102;85.9103
0.8;85.9075;85.9060;85.9060
0.9;85.9013;85.9009;85.9017
1.0;85.8997;85.8998;85.8989
1.1;85.8969;85.8965;85.8968
