U2, V;I, μA
-25.04;-26
-22;-25.1
-19;-24.2
-16.02;-23.2
-13.06;-22
-10.04;-19.9
-8.04;-17.6
-6.04;-14.4
-4;-10.2
-2.03;-5.3
-0.53;-1.3
0.5;2
2;5.9
3.98;10.6
5.99;14.5
7.99;17.4
10.02;19.5
13.05;21.5
16.05;22.6
18.98;23.4
22.06;24.3
25.04;25.1
