U2, V;I, μA
25.03;85.9
22.01;83.9
19.04;81.7
15.98;78.6
13.11;74
10.05;66.3
8.10;59.2
6.06;49.6
4.01;37.6
2.06;24.6
0.49;11.7
-0.49;-11.1
-2.09;-21.6
-3.97;-34.8
-6.07;-48.1
-8.04;-58.7
-10.05;-67.3
-13.06;-76.3
-15.98;-81.7
-19;-85.4
-21.99;-87.8
-25;-89.9
